Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Source Name,Source Region,Source Country,Source Voltage (kV),Source Capacity (MVA),Source Status,Destination Name,Destination Region,Destination Country,Destination Voltage (kV),Destination Capacity (MVA),Destination Status,Utility Name,Utility Alias,Utility Code,Utility Type,Utility Country
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,Takoradi Substation,Western,Ghana,33,14.0,Active,Tarkwa Substation,Western,Ghana,69,169.4,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,Aboadze Substation,Western,Ghana,33,42.7,Active,Tarkwa Substation,Western,Ghana,69,169.4,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,Aboadze Substation,Western,Ghana,33,42.7,Active,Axim Substation,Western,Ghana,69,96.9,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
21,3,14,Tarkwa Substation,15,Axim Substation,69,59.7,264.2,Active,Overhead,Tarkwa Substation,Western,Ghana,69,169.4,Active,Axim Substation,Western,Ghana,69,96.9,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
22,2,16,Cape Coast Substation,17,Winneba Substation,69,84.4,249.8,Active,Overhead,Cape Coast Substation,Central,Ghana,69,68.8,Active,Winneba Substation,Central,Ghana,330,168.8,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
23,1,16,Cape Coast Substation,18,Kasoa Substation,11,118.3,98.0,Under Maintenance,Underground,Cape Coast Substation,Central,Ghana,69,68.8,Active,Kasoa Substation,Central,Ghana,11,52.4,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
24,3,16,Cape Coast Substation,19,Assin Fosu Substation,11,82.4,294.7,Active,Overhead,Cape Coast Substation,Central,Ghana,69,68.8,Active,Assin Fosu Substation,Central,Ghana,11,26.2,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
25,2,17,Winneba Substation,18,Kasoa Substation,11,32.3,289.5,Active,Overhead,Winneba Substation,Central,Ghana,330,168.8,Active,Kasoa Substation,Central,Ghana,11,52.4,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
26,2,18,Kasoa Substation,19,Assin Fosu Substation,11,140.9,295.6,Active,Overhead,Kasoa Substation,Central,Ghana,11,52.4,Active,Assin Fosu Substation,Central,Ghana,11,26.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
27,3,20,Koforidua Substation,21,Akosombo Substation,11,48.0,165.6,Active,Overhead,Koforidua Substation,Eastern,Ghana,11,42.4,Active,Akosombo Substation,Eastern,Ghana,69,57.9,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
28,1,20,Koforidua Substation,22,Nkawkaw Substation,11,98.0,277.8,Active,Overhead,Koforidua Substation,Eastern,Ghana,11,42.4,Active,Nkawkaw Substation,Eastern,Ghana,69,389.2,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
29,2,21,Akosombo Substation,22,Nkawkaw Substation,69,117.8,111.3,Active,Overhead,Akosombo Substation,Eastern,Ghana,69,57.9,Active,Nkawkaw Substation,Eastern,Ghana,69,389.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
30,3,21,Akosombo Substation,23,Suhum Substation,69,82.7,209.6,Active,Underground,Akosombo Substation,Eastern,Ghana,69,57.9,Active,Suhum Substation,Eastern,Ghana,69,339.0,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
31,1,22,Nkawkaw Substation,23,Suhum Substation,69,75.9,78.9,Active,Underground,Nkawkaw Substation,Eastern,Ghana,69,389.2,Active,Suhum Substation,Eastern,Ghana,69,339.0,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
32,2,24,Ho Substation,25,Kpong Substation,11,79.5,163.1,Active,Overhead,Ho Substation,Volta,Ghana,330,382.1,Active,Kpong Substation,Volta,Ghana,11,11.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
33,3,24,Ho Substation,27,Sogakope Substation,11,84.4,113.9,Active,Overhead,Ho Substation,Volta,Ghana,330,382.1,Active,Sogakope Substation,Volta,Ghana,11,58.8,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
34,1,25,Kpong Substation,27,Sogakope Substation,11,59.7,32.9,Active,Overhead,Kpong Substation,Volta,Ghana,11,11.2,Active,Sogakope Substation,Volta,Ghana,11,58.8,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
35,3,26,Hohoe Substation,27,Sogakope Substation,11,152.5,221.1,Active,Underground,Hohoe Substation,Volta,Ghana,11,18.2,Active,Sogakope Substation,Volta,Ghana,11,58.8,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
36,3,28,Sunyani Substation,29,Techiman Substation,33,63.1,269.9,Active,Overhead,Sunyani Substation,Bono,Ghana,33,19.6,Active,Techiman Substation,Bono,Ghana,33,44.2,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
37,3,29,Techiman Substation,30,Berekum Substation,33,87.3,34.1,Active,Overhead,Techiman Substation,Bono,Ghana,33,44.2,Active,Berekum Substation,Bono,Ghana,330,188.8,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
38,2,31,Tamale Substation,32,Yendi Substation,11,112.6,296.6,Active,Underground,Tamale Substation,Northern,Ghana,33,37.4,Inactive,Yendi Substation,Northern,Ghana,11,52.3,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
39,3,34,Bolgatanga Substation,35,Bawku Substation,161,86.6,64.6,Active,Underground,Bolgatanga Substation,Upper East,Ghana,161,325.9,Active,Bawku Substation,Upper East,Ghana,161,194.8,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
40,3,1,Achimota Substation,7,Kumasi Central Substation,330,225.4,303.7,Active,Overhead,Achimota Substation,Greater Accra,Ghana,11,6.4,Active,Kumasi Central Substation,Ashanti,Ghana,161,221.4,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
41,3,7,Kumasi Central Substation,12,Takoradi Substation,330,228.3,298.9,Active,Overhead,Kumasi Central Substation,Ashanti,Ghana,161,221.4,Active,Takoradi Substation,Western,Ghana,33,14.0,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
42,3,12,Takoradi Substation,16,Cape Coast Substation,330,70.5,455.1,Active,Overhead,Takoradi Substation,Western,Ghana,33,14.0,Active,Cape Coast Substation,Central,Ghana,69,68.8,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
43,3,16,Cape Coast Substation,20,Koforidua Substation,330,178.8,506.3,Active,Overhead,Cape Coast Substation,Central,Ghana,69,68.8,Active,Koforidua Substation,Eastern,Ghana,11,42.4,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
44,3,20,Koforidua Substation,24,Ho Substation,330,113.7,408.5,Active,Overhead,Koforidua Substation,Eastern,Ghana,11,42.4,Active,Ho Substation,Volta,Ghana,330,382.1,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
45,3,24,Ho Substation,28,Sunyani Substation,330,367.7,450.7,Active,Overhead,Ho Substation,Volta,Ghana,330,382.1,Active,Sunyani Substation,Bono,Ghana,33,19.6,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
46,3,28,Sunyani Substation,31,Tamale Substation,330,324.3,309.8,Active,Overhead,Sunyani Substation,Bono,Ghana,33,19.6,Active,Tamale Substation,Northern,Ghana,33,37.4,Inactive,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
47,3,31,Tamale Substation,34,Bolgatanga Substation,330,175.4,231.0,Active,Overhead,Tamale Substation,Northern,Ghana,33,37.4,Inactive,Bolgatanga Substation,Upper East,Ghana,161,325.9,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
48,3,34,Bolgatanga Substation,36,Wa Substation,330,227.0,314.3,Active,Overhead,Bolgatanga Substation,Upper East,Ghana,161,325.9,Active,Wa Substation,Upper West,Ghana,11,27.1,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
49,9,34,Bolgatanga Substation,37,Bolgatanga Interconnection,330,53.0,217.9,Active,Overhead,Bolgatanga Substation,Upper East,Ghana,161,325.9,Active,Bolgatanga Interconnection,Burkina Faso border,Burkina,330,156.1,Active,Sonabel,SONABEL,SNB,Distribution,Burkina Faso
50,9,37,Bolgatanga Interconnection,43,Bobo-Dioulasso Hub,330,426.0,229.9,Active,Overhead,Bolgatanga Interconnection,Burkina Faso border,Burkina,330,156.1,Active,Bobo-Dioulasso Hub,Burkina Faso,Burkina,161,445.9,Active,Sonabel,SONABEL,SNB,Distribution,Burkina Faso
51,5,38,Elubo Border Station,7,Kumasi Central Substation,330,235.2,285.0,Active,Overhead,Elubo Border Station,Cote d'Ivoire border,Cote,330,285.1,Active,Kumasi Central Substation,Ashanti,Ghana,161,221.4,Active,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire
52,5,38,Elubo Border Station,42,Abidjan Transmission Hub,330,141.3,184.6,Active,Overhead,Elubo Border Station,Cote d'Ivoire border,Cote,330,285.1,Active,Abidjan Transmission Hub,Cote d'Ivoire,Cote,161,262.6,Active,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire
53,6,39,Aflao Border Station,2,Tema Substation,330,157.9,207.8,Active,Overhead,Aflao Border Station,Togo border,Togo,330,423.2,Active,Tema Substation,Greater Accra,Ghana,330,48.5,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin
54,6,39,Aflao Border Station,40,Lome Transmission Hub,330,3.8,323.5,Active,Overhead,Aflao Border Station,Togo border,Togo,330,423.2,Active,Lome Transmission Hub,Togo,Togo,161,120.2,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin
55,6,40,Lome Transmission Hub,41,Cotonou Transmission Hub,330,150.0,326.6,Active,Overhead,Lome Transmission Hub,Togo,Togo,161,120.2,Active,Cotonou Transmission Hub,Benin,Benin,161,487.6,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin
